"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 28 06:29:38 GMT 2025","Sat Jun 28 06:29:39 GMT 2025","1489","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Sat Jun 28 06:29:39 GMT 2025","Sat Jun 28 06:29:41 GMT 2025","2620","LMS system","Courses","Courses","","","Create course",""
"passed","Sat Jun 28 06:29:32 GMT 2025","Sat Jun 28 06:29:34 GMT 2025","1545","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 28 06:29:32 GMT 2025","Sat Jun 28 06:29:35 GMT 2025","2963","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Sat Jun 28 06:29:42 GMT 2025","Sat Jun 28 06:29:44 GMT 2025","1708","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Sat Jun 28 06:29:39 GMT 2025","Sat Jun 28 06:29:43 GMT 2025","3349","LMS system","Courses","Courses","","","Edit course",""
"passed","Sat Jun 28 06:29:30 GMT 2025","Sat Jun 28 06:29:32 GMT 2025","1776","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 28 06:29:34 GMT 2025","Sat Jun 28 06:29:36 GMT 2025","1527","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Sat Jun 28 06:29:30 GMT 2025","Sat Jun 28 06:29:32 GMT 2025","1742","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Sat Jun 28 06:29:36 GMT 2025","Sat Jun 28 06:29:37 GMT 2025","1559","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
